HIRESName,FILENAME,RV
HD5133,r20070131.112,7.708218160191847
HD12661,r20101021.129,109.92306074374778
HD24365,r20101021.128,-9.606314996442904
HD190571,r20100726.118,-8.645852978941136
HD194110,r20100726.105,-14.474773951956749
HD199580,r20110613.74,-23.647446701312898
HD19467,r20130825.136,-10.81381845353363
HD24892,r20171224.80,-7.6391787707101715
HD26161,r20060905.255,-39.62805375867174
HD30649,r20080913.221,981.5661597760308
HD37006,r20121002.128,-26.77318326467383
HD108874,r20100101.183,-55.349958170024344
HD122517,r20130803.63,4287.671864316744
HD126990,r20100428.136,7.512207012168503
HD68168,r20071227.254,26.69287329928576
HD69809,r20160126.102,-9.212051298051351
HD103813,r20100628.103,-13.98037417309956
HD87424,r20080321.137,-17.29186538640042
HD97343,r20071227.288,-9.166563966802585
HD180684,r20040823.154,-511.94757242985185
HD1388,r20050822.206,-90.07917271981752
HD16702,r20140728.94,-2446.980394648087
HD129191,r20130716.68,-49.8614410863759
HD211681,r20050820.190,1018.2848345756239
HD31018,r20050224.131,-30.854130653293737
HD244992,r20051119.204,19.65355598801465
HD116956,r20070530.121,-108.9762734996611
HD95088,r20140221.160,22.22766135686678
HD110897,r20100729.65,13.92478969719719
HD144287,r20140707.104,2001.1968007002858
HD13579,r20100805.125,25.1752997043119
HD10780,r20101214.83,-8.397522744650985
HD9218,r20140117.173,-18.268747100823802
HD203473,r20180730.110,726.9376501083673
HD171238,r20140812.93,40.815904945177174
HD200565,r20080913.112,-1507.805757892327
HD44420,r20170411.76,-6.535231360230597
HD22049,r20131212.107,30.57870194989047
HD121320,r20120213.181,-9.007838135961128
HD51419,r20101215.155,-11.7092783223366
HD18143,r20180819.103,40.88472453723887
HD19308,r20081218.179,6.766411608261193
HD29528,r20101212.158,-11.443463540136358
HD31966,r20101212.169,-8.012301006070977
HD33021,r20120903.145,-15.93445377705478
HD34745,r20170317.60,-7.750588033161278
HD35627,r20161111.76,-4.861013428049914
HD35974,r20061015.265,-8.754021934130776
HD37213,r20041024.236,-7.626089242494771
HD37962,r20041024.233,4.834403191438284
HD43745,r20101228.92,-7.003659384575617
HD45067,r20101229.65,17.971185938480712
HD36308,r20121007.148,31.062834700328242
HD44985,r20160204.129,-8.168661276386262
HD52456,r20160124.120,-6.786643807231486
HD80367,r20161123.134,-9.28225267950222
HD71479,r20171212.132,-8.258536533064046
HD63754,r20041129.238,25.027063859367424
HD45588,r20101228.82,-7.988644977939185
HD48938,r20101228.78,-6.674455418448666
HD50806,r20050130.146,-5.309501943573075
HD51219,r20101121.167,-6.632031081253358
HD67458,r20161125.124,-6.044792672707344
HD68978,r20101121.197,12.746130862982449
HD71334,r20160126.103,-5.07210267987519
HD76909,r20161123.125,-5.0424038512771014
HD58781,r20161017.137,-7.199802494470532
HD9446,r20160717.129,-117.4569631846047
HD30339,r20051122.288,605.5340200965347
HD30708,r20170730.104,-7.875340743102868
