FILENAME,BJD_TDB,RV,RV_ERR,BC,ADU,CHI2
"r20090408.130",14929.98211900005,-1.955759134654194,1.50094,14343.23535156250,40931,1.08049
"r20090504.128",14956.04236500012,4.194696966011858,1.23148,9349.010742187500,44498,1.10937
"r20090505.130",14957.05260499986,-1.940806747783810,1.41670,9094.287109375000,44299,1.05155
"r20090601.197",14983.97868600022,-5.685673454403908,1.34543,2390.864990234375,45508,1.08713
"r20090602.152",14984.96799900010,-6.305094752696412,1.32662,2146.485107421875,46844,1.12424
"r20090603.141",14985.92397799995,-2.513151130735585,1.33795,1985.698974609375,44516,1.12542
"r20090605.137",14987.99744899990,3.029793385185450,1.36912,1256.444946289062,45411,1.05781
"r20090606.129",14988.91447799979,8.724874520380659,1.19658,1193.548950195312,46012,1.07569
"r20090702.118",15014.84740100009,-1.230516786566082,1.16774,-5607.109863281250,45438,1.11179
"r20090706.171",15019.04457100015,-2.456322274105704,1.20407,-7035.267089843750,44660,1.05038
"r20090711.169",15023.95441599982,-0.4539299961181462,1.12980,-8074.094238281250,71585,1.05029
"r20090711.170",15023.95625599986,-2.603452122851016,1.18727,-8078.002929687500,65076,1.04809
"r20090729.115",15041.97319999989,-3.534168942171831,1.32230,-11941.99218750000,45311,1.08419
"r20090730.98",15042.90382299991,-6.087422736503601,1.45877,-12004.64941406250,47239,1.05449
"r20090903.75",15077.74909600010,-7.489466432427953,1.36871,-15815.53320312500,46827,1.10151
"r20091031.64",15135.68708600011,-5.335805473129341,1.32302,-10763.47460937500,47074,1.05752
"r20100505.144",15321.93613500008,12.57110407392429,1.24109,9437.500000000000,48673,1.11325
"r20100523.177",15339.93520499999,2.801703690192372,1.22159,4978.261230468750,74697,1.06864
"r20100727.138",15404.96908499999,-6.249179727004396,1.27740,-11499.48046875000,47114,1.04705
"r20110316.194",15637.09838199988,11.72732458033968,1.27701,16223.39648437500,47923,1.07363
"r20110422.116",15673.94006500021,6.788184933568129,1.34839,12198.95410156250,47213,1.10581
"r20110610.122",15722.87015700014,7.454589828006146,1.39661,342.0280151367188,45210,1.11318
"r20110616.138",15728.91074599978,2.525182661061811,1.35207,-1386.291992187500,46773,1.05231
"r20110809.114",15782.89269499993,1.110166290195032,1.30652,-13571.36230468750,46767,1.06679
"r20110904.65",15808.72079600021,-4.343158526428311,1.33014,-15781.31445312500,46856,1.05355
"r20111016.59",15850.68518400006,-4.564598450731459,1.16501,-13508.68554687500,46193,1.11077
"r20120825.64",16164.72190100001,-4.492477822826856,1.30071,-15186.41796875000,46839,1.10176
"r20130221.139",16345.17109799990,4.661509145877119,1.32342,15652.97558593750,47564,1.11133
"r20130608.105",16451.92750500003,2.002920891536694,1.29481,619.8200073242188,46670,1.08371
"r20130702.92",16475.78964800015,-3.110860180436891,1.16582,-5463.241210937500,47605,1.10466
"r20131023.64",16588.68753900006,-3.427405384472745,1.37618,-12312.49414062500,47563,1.14109
"r20140221.169",16710.11182300001,-2.624515707832117,1.36959,15733.93554687500,46830,1.11589
"r20140707.92",16845.88189599989,2.663328918871629,1.12225,-6887.309082031250,47035,1.06877
"r20140712.58",16850.74036299996,7.060575194586370,1.24793,-7755.550781250000,46400,1.05819
"r20150207.167",17061.17766400008,0.8269114259569221,1.23323,14074.55664062500,47653,1.10069
"r20160725.102",17594.96690799994,-2.027386124044490,1.42709,-11205.11523437500,47563,1.07277
"r20161120.66",17712.67869899981,-6.981653898260285,1.23156,-6019.971191406250,45126,1.07084
"r20170205.121",17790.17605500016,-2.139223374074760,1.37775,13868.51171875000,46823,1.13888
"r20170729.62",17963.82546399999,5.973404878471207,1.45352,-11640.65917968750,47776,1.10103
"r20180525.113",18264.13177700015,-0.8187538480475887,1.36714,3999.562011718750,46368,1.10678
"r20180819.66",18349.72560600005,5.229043985034792,1.31757,-14550.71191406250,48224,1.09614
