,Unnamed: 0,SIMNAME,TEFF,LOGG,VSINI,CH,NH,OH,NaH,MgH,AlH,SiH,CaH,TiH,VH,CrH,MnH,FeH,NiH,YH,DIR,,,,,,,,,,,,,,,,,,
1170,1170,HD 117207,5618.255,4.28761,1.93484139,0.14787586,0.23948416,0.13910787,0.21768828,0.1448815,0.17547207,0.16472407,0.16195817,0.13763402,0.13522692,0.1704407,0.24158593,0.18558091,0.18951988,0.11449422,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/117207_rj93.1281.ech,,,,,,,,,,,,,,,,,,
724,724,HD 109718,5793.0693,3.9776328,2.476290464,0.03484423,0.15760733,0.1237874,0.08031819,0.048109602,0.052914433,0.03550401,0.0785408,0.06650837,-0.059167314,0.067141056,0.09688447,0.088060856,0.08807142,0.10617719,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/109718_rj32.1745.ech,,,,,,,,,,,,,,,,,,
1175,1175,HTR241-006,5959.056,3.8947518,11.34979439,0.07753891,0.2381,0.37129146,0.19798316,0.16906938,0.20515001,0.22122435,0.33234966,0.2887644,0.18935955,0.28254852,0.19333747,0.29026803,0.24760915,0.396737,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/HTR241-006_rj93.555.ech,,,,,,,,,,,,,,,,,,
593,593,HD 159062,5350.3545,4.541174,0.692751946,-0.18316223,-0.37818554,0.10643725,-0.32791105,-0.20722395,-0.15680742,-0.2092022,-0.28386223,-0.17416236,-0.23692504,-0.4367444,-0.6267682,-0.41078824,-0.3600447,0.000602871,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/159062_rj20.1319.ech,,,,,,,,,,,,,,,,,,
697,697,HTR176-002,5470.2427,4.3348002,2.664059401,0.17367,0.18863449,0.2420629,0.18440256,0.21080866,0.28661507,0.21291716,0.17613669,0.24005954,0.20971873,0.16773587,0.14476073,0.16804269,0.19300708,0.09156857,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/HTR176-002_rj30.300.ech,,,,,,,,,,,,,,,,,,
516,516,HD 12235,5986.3857,4.1215706,5.122156143,0.22069336,0.5074221,0.35489702,0.4678801,0.24837525,0.29792976,0.29562935,0.31757724,0.2901793,0.21814069,0.31186694,0.4182539,0.31893986,0.3661964,0.38337058,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/12235_rj187.83.ech,,,,,,,,,,,,,,,,,,
93,93,HD 103459,5721.6304,4.0307016,2.182237864,0.1940078,0.2839667,0.20739405,0.30716974,0.19494791,0.2565585,0.20207831,0.23390198,0.2172722,0.16916157,0.23265696,0.29428464,0.23972893,0.2726052,0.23366429,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/103459_rj117.364.ech,,,,,,,,,,,,,,,,,,
201,201,HD 16175,5902.3076,4.063263,4.719716549,0.20490356,0.48173863,0.32601076,0.4494109,0.24962479,0.35477504,0.31048816,0.34071276,0.3091646,0.24996129,0.3165182,0.40328604,0.3245262,0.37561893,0.32483804,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/16175_rj130.2538.ech,,,,,,,,,,,,,,,,,,
938,938,HD 196645,5041.099,3.4343097,0.884110808,-0.22431758,-0.012743324,-0.08402999,-0.14960143,-0.09970934,-0.115341,-0.18558449,-0.05850724,-0.07404529,-0.13224328,-0.08838318,-0.057844587,-0.054764226,-0.07973794,0.09229681,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/196645_rj62.79.ech,,,,,,,,,,,,,,,,,,
1111,1111,HD 4208,5639.4736,4.502625,0.100000004,-0.22550058,-0.37103963,-0.14400442,-0.31440422,-0.20628099,-0.21373229,-0.2325765,-0.25221795,-0.22511658,-0.2356885,-0.3025471,-0.3923342,-0.28942063,-0.3012758,-0.3324186,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/4208_rj78.744.ech,,,,,,,,,,,,,,,,,,
205,205,HD 745,5051.3213,3.309159,2.370174885,-0.14916964,0.108146906,-0.016065191,-0.059438813,-0.020690016,-0.01629198,-0.089297235,0.09869636,0.033736996,-0.046038903,0.08092819,0.080739886,0.115902334,0.07174402,0.3405536,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/745_rj131.1117.ech,,,,,,,,,,,,,,,,,,
